MBHB03-1AH01-01A,1,"6""",W
MBHB03-1AH01-01B,1,"6""",W
MBHB03-1AH01-01B,2,"6""",W
MBHB03-1AH01-01B,3,"6""",F
MBHB03-1AH01-02,1,"6""",W
MBHB03-1AH01-02,2,"6""",W
MBHB03-1AH01-03,1,"6""",F
MBHB03-1AH01-03,2,"6""",W
MBHB03-1AH02-01A,1,"6""",W
MBHB03-1AH02-01B,1,"6""",W
MBHB03-1AH02-01B,2,"6""",W
MBHB03-1AH02-01B,3,"6""",F
MBHB03-1AH02-02,1,"6""",W
MBHB03-1AH02-02,2,"6""",W
MBHB03-1AH02-03,1,"6""",F
MBHB03-1AH02-03,2,"6""",W
MBHB04-1AH01-01A,1,"6""",W
MBHB04-1AH01-01A,2,"6""",W
MBHB04-1AH01-01A,3,"6""",F
MBHB04-1AH01-01B,1,"6""",W
MBHB04-1AH01-01B,2,"6""",F
MBHB04-1AH01-01B,3,"6""",F
MBHB04-1AH02-01A,1,"6""",W
MBHB04-1AH02-01A,2,"6""",W
MBHB04-1AH02-01A,3,"6""",F
MBHB04-1AH02-01B,1,"6""",W
MBHB04-1AH02-01B,2,"6""",F
MBHB04-1AH02-01B,3,"6""",F
MBHB05-1AH01-01,1,"6""",F
MBHB05-1AH01-01,2,"6""",W
MBHB05-1AH01-02,1,"6""",F
MBHB05-1AH01-02,2,"6""",F
MBHB05-1AH01-02,3,"6""",W
MBHB05-1AH01-03,1,"6""",W
MBHB05-1AH01-03,2,"6""",W
MBHB05-1AH01-03,3,"6""",F
MBHB05-1AH02-01,1,"6""",F
MBHB05-1AH02-01,2,"6""",W
MBHB05-1AH02-02,1,"6""",F
MBHB05-1AH02-02,2,"6""",F
MBHB05-1AH02-02,3,"6""",W
MBHB05-1AH02-03,1,"6""",F
MBHB05-1AH02-03,2,"6""",W
MBHB05-1AH02-04,1,"6""",W
MBHB05-1AH02-04,2,"6""",W
MBHB05-1AH02-04,3,"6""",W
MBHB05-1AH02-04,4,"6""",W
MBHB05-1AH02-04,5,"6""",F
