P60-WS2050-0004-0001,,,0,MY-MOS25C,28.6,
P60-WS2050-0004-002,,,0,MY-MOS25C,13.9,
P60-WS2050-0036-001,P60,,0,MY-MOS25C,1429.6,
P60-WS2050-0036-002,P60,,0,MY-MOS25C,900.7,
P60-WS2050-0036-003,P60,,0,MY-MOS25C,858.5,
P60-WS2050-0036-004,P60,,0,MY-MOS25C,1624.0,
P60-WS2050-0036-005,P60,,0,MY-MOS25C,553.2,
P60-WS2050-0036-006,P60,,0,MY-MOS25C,1547.7,
P60-WS2050-0036-007,P60,,0,MY-MOS25C,1538.7,
P60-WS2050-0056-001,P60,,0,MY-MOS25C,369.4,
P60-WS2050-0056-002,P60,,0,MY-MOS25C,264.9,
P60-WS2050-0056-003,P60,,0,MY-MOS25C,606.1,
P60-WS2050-0056-004,P60,,0,MY-MOS25C,706.1,
P60-WS2050-0056-005,P60,,0,MY-MOS25C,312.4,
P60-WS2050-0057-001,P60,,0,MY-MOS25C,369.4,
P60-WS2050-0057-002,P60,,0,MY-MOS25C,270.4,
P60-WS2050-0057-003,P60,,0,MY-MOS25C,522.4,
P60-WS2050-0057-004,P60,,0,MY-MOS25C,611.9,
P60-WS2050-0057-005,P60,,0,MY-MOS25C,312.4,
P60-WS2050-0059-001,P60,,0,MY-MOS25C,561.3,
P60-WS2050-0059-002,P60,,0,MY-MOS25C,485.7,
P60-WS2050-0059-003,P60,,0,MY-MOS25C,372.5,
P60-WS2050-0060-001,P60,,0,MY-MOS25C,561.3,
P60-WS2050-0060-002,P60,,0,MY-MOS25C,485.7,
P60-WS2050-0060-003,P60,,0,MY-MOS25C,372.5,
P60-WS2050-0109-001,P60,,0,MY-MOS25C,2858.7,
P60-WS2050-0109-002,P60,,0,MY-MOS25C,2403.4,
P60-WS2050-0109-003,P60,,0,MY-MOS25C,2636.7,
P60-WS2050-0109-004,,,0,MY-MOS25C,2205.6,
P60-WS2050-0109-005,P60,,0,MY-MOS25C,1767.1,
P60-WS2050-0155-001,P60,,0,MY-MOS25C,532.8,
P60-WS2050-0155-002,P60,,0,MY-MOS25C,296.5,
P60-WS2050-0155-003,P60,,0,MY-MOS25C,444.3,
P60-WS2050-0155-004,P60,,0,MY-MOS25C,436.5,
P60-WS2050-0155-005,P60,,0,MY-MOS25C,590.5,
P60-WS2050-0155-006,P60,,0,MY-MOS25C,674.2,
P60-WS2050-0155-007,P60,,0,MY-MOS25C,571.8,
