 (mm),(inch),Workshop Bonding,Field Bonding,MY-MOS16,MY-MOS16C,MY-MOS16U,MY-MOS16CU,Remarks
25,1,0.14,1,MY-C08(150),MY-C05(150),MY-C08(150),MY-C05(150),
40,1.5,0.2,1,MY-C08(150),MY-C05(150),MY-C08(150),MY-C05(150),
50,2,0.24,1,MY-C08(150),MY-C05(150),MY-C08(150),MY-C05(150),
65,2.5,0.28,1,MY-C08(150),MY-C05(150),MY-C08(150),MY-C05(150),
80,3,0.34,1,MY-C08(150),MY-C05(150),MY-C08(150),MY-C05(150),
100,4,0.42,1,MY-C08(150),MY-C05(150),MY-C08(150),MY-C05(150),
125,5,0.63,1,MY-C08(150),MY-C05(150),MY-C08(150),MY-C05(150),
150,6,0.86,1,MY-C08(150),MY-C05(150),MY-C08(150),MY-C05(150),
200,8,0.64,1,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
250,10,0.86,1,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
300,12,1.2,2,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
350,14,1.49,2,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
400,16,1.89,2,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
450,18,2.3,3,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
500,20,2.85,3,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
550,22,3.36,4,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
600,24,4.25,5,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
650,26,4.75,5,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
700,28,5.15,6,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
750,30,5.51,6,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
800,32,5.95,6,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
850,34,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
900,36,7.43,8,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
950,38,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1000,40,9.53,10,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1050,42,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1100,44,10.5,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1150,46,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1200,48,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1250,50,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1300,52,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1350,54,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1400,56,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1450,58,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1500,60,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1550,62,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1600,64,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1650,66,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1700,68,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1750,70,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1800,72,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1850,74,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1900,76,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1950,78,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
2000,80,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
