 (mm),(inch),Workshop Bonding,Field Bonding,MY-MOS10,MY-MOS10C,MY-MOS10U,MY-MOS10CU,Remarks
25,1,0.12,1,MY-C08(150),MY-C05(150),MY-C08(150),MY-C05(150),
40,1.5,0.19,1,MY-C08(150),MY-C05(150),MY-C08(150),MY-C05(150),
50,2,0.23,1,MY-C08(150),MY-C05(150),MY-C08(150),MY-C05(150),
65,2.5,0.27,1,MY-C08(150),MY-C05(150),MY-C08(150),MY-C05(150),
80,3,0.32,1,MY-C08(150),MY-C05(150),MY-C08(150),MY-C05(150),
100,4,0.41,1,MY-C08(150),MY-C05(150),MY-C08(150),MY-C05(150),
125,5,0.63,1,MY-C08(150),MY-C05(150),MY-C08(150),MY-C05(150),
150,6,0.85,1,MY-C08(150),MY-C05(150),MY-C08(150),MY-C05(150),
200,8,0.62,1,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
250,10,0.84,1,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
300,12,1.18,2,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
350,14,1.45,2,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
400,16,1.87,2,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
450,18,2.29,3,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
500,20,2.84,3,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
550,22,3.33,4,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
600,24,4.22,5,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
650,26,4.73,5,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
700,28,5.1,6,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
750,30,5.46,6,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
800,32,5.82,6,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
850,34,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
900,36,7.28,8,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
950,38,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1000,40,9.29,10,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1050,42,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1100,44,10.23,11,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1150,46,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1200,48,12.61,13,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1250,50,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1300,52,15.24,16,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1350,54,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1400,56,18.11,19,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1450,58,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1500,60,21.22,22,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1550,62,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1600,64,24.57,25,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1650,66,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1700,68,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1750,70,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1800,72,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1850,74,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1900,76,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
1950,78,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
2000,80,,,MY-C08(300),MY-C05(300),MY-C08(300),MY-C05(300),
